NAMESPACE            NAME                                                         READY   STATUS    RESTARTS   AGE
kube-system          antrea-agent-jb7qj                                           2/2     Running   0          45m
kube-system          antrea-agent-kf9lv                                           2/2     Running   0          45m
kube-system          antrea-agent-rdfrj                                           2/2     Running   0          45m
kube-system          antrea-controller-7f69c8dc84-kfpcj                           1/1     Running   0          45m
kube-system          coredns-7d764666f9-nl6n7                                     1/1     Running   0          58m
kube-system          coredns-7d764666f9-wtt85                                     1/1     Running   0          58m
kube-system          etcd-antrea-poormans-pcap-control-plane                      1/1     Running   0          58m
kube-system          kube-apiserver-antrea-poormans-pcap-control-plane            1/1     Running   0          58m
kube-system          kube-controller-manager-antrea-poormans-pcap-control-plane   1/1     Running   0          58m
kube-system          kube-proxy-289c8                                             1/1     Running   0          58m
kube-system          kube-proxy-gstpr                                             1/1     Running   0          58m
kube-system          kube-proxy-vxpn5                                             1/1     Running   0          58m
kube-system          kube-scheduler-antrea-poormans-pcap-control-plane            1/1     Running   0          58m
kube-system          pcap-controller-7dbtw                                        1/1     Running   0          27m
kube-system          pcap-controller-fv4gq                                        1/1     Running   0          27m
local-path-storage   local-path-provisioner-67b8995b4b-4l4mj                      1/1     Running   0          58m
test                 test-pod                                                     1/1     Running   0          7m26s
